company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,632.05","2,551.00","2,625.10","2,521.85",103.25,4.09
M&M,874.80,853.00,871.25,849.00,22.25,2.62
Bajaj Auto,"3,759.00","3,718.50","3,758.40","3,698.40",60,1.62
ITC,226.80,224.00,226.00,222.45,3.55,1.6
IOC,135.00,133.55,134.55,132.55,2,1.51
Divis Labs,"5,225.00","5,170.10","5,202.90","5,140.15",62.75,1.22
Hero Motocorp,"2,677.00","2,650.00","2,672.25","2,641.45",30.8,1.17
BPCL,420.25,418.10,419.60,414.90,4.7,1.13
Larsen,"1,920.85","1,900.00","1,910.00","1,889.50",20.5,1.08
Tata Motors,493.55,488.00,490.15,484.90,5.25,1.08
IndusInd Bank,"1,195.00","1,185.00","1,189.55","1,177.95",11.6,0.98
Kotak Mahindra,"2,062.00","2,039.00","2,056.60","2,037.55",19.05,0.93
Sun Pharma,797.00,788.50,795.00,787.95,7.05,0.89
HDFC Bank,"1,597.85","1,590.10","1,594.75","1,581.45",13.3,0.84
Nestle,"18,949.00","18,811.90","18,890.00","18,737.15",152.85,0.82
SBI,535.90,530.75,531.60,527.65,3.95,0.75
HDFC Life,699.90,695.00,696.95,692.30,4.65,0.67
Adani Ports,716.45,713.00,713.60,709.20,4.4,0.62
Titan Company,"2,444.80","2,422.00","2,433.00","2,417.95",15.05,0.62
Tech Mahindra,"1,515.00","1,501.00","1,507.60","1,498.55",9.05,0.6
HCL Tech,"1,187.15","1,178.00","1,183.25","1,176.35",6.9,0.59
Britannia,"3,658.00","3,639.35","3,651.00","3,629.85",21.15,0.58
Bajaj Finserv,"17,750.00","17,500.00","17,608.00","17,509.45",98.55,0.56
Reliance,"2,500.00","2,490.00","2,497.55","2,483.60",13.95,0.56
Power Grid Corp,185.85,184.25,184.95,183.95,1,0.54
HUL,"2,430.00","2,420.00","2,423.55","2,411.35",12.2,0.51
Wipro,657.65,655.00,655.80,652.50,3.3,0.51
Coal India,171.40,169.75,170.60,169.75,0.85,0.5
UPL,745.00,738.00,740.70,737.05,3.65,0.5
TCS,"3,513.25","3,505.00","3,508.55","3,492.25",16.3,0.47
Infosys,"1,717.00","1,708.50","1,709.50","1,702.50",7,0.41
Shree Cements,"29,219.70","28,980.55","29,094.90","28,980.55",114.35,0.39
NTPC,138.30,137.05,137.25,136.75,0.5,0.37
Axis Bank,757.05,751.40,753.15,750.60,2.55,0.34
Grasim,"1,800.00","1,785.55","1,790.60","1,785.55",5.05,0.28
Bharti Airtel,704.80,699.20,701.00,699.10,1.9,0.27
SBI Life Insura,"1,189.95","1,172.55","1,181.85","1,178.80",3.05,0.26
Bajaj Finance,"7,569.00","7,521.05","7,534.00","7,516.25",17.75,0.24
HDFC,"2,909.00","2,899.05","2,902.00","2,895.90",6.1,0.21
ONGC,152.85,151.70,152.25,152.00,0.25,0.16
Maruti Suzuki,"7,819.95","7,735.50","7,746.10","7,734.25",11.85,0.15
Tata Steel,"1,335.00","1,324.50","1,326.95","1,326.05",0.9,0.07
Dr Reddys Labs,"4,788.65","4,771.35","4,773.00","4,771.65",1.35,0.03
TATA Cons. Prod,834.60,826.55,827.10,826.90,0.2,0.02
